Sample,Time,Label,UPneumo,LPneumo,EDA1,Cardio1,Move1,ED,Aux01
144,00:04.76,X,30020.0,37017.0,109401.0,38224.0,9.9,300.0,39264.0
145,00:04.79,X,29999.0,36980.0,109399.0,38202.0,9.9,301.0,39258.0
146,00:04.83,X,29972.0,36943.0,109393.0,38165.0,9.9,300.0,39250.0
147,00:04.86,X,29951.0,36905.0,109391.0,38138.0,9.9,300.0,39258.0
148,00:04.90,X,29929.0,36879.0,109391.0,38112.0,9.9,299.0,39269.0
149,00:04.93,X,29908.0,36857.0,109393.0,38090.0,9.9,299.0,39290.0
150,00:04.96,X,29887.0,36836.0,109388.0,38090.0,9.9,299.0,39304.0
151,00:05.00,X,29860.0,36815.0,109387.0,38053.0,9.9,298.0,39322.0
152,00:05.03,X,29844.0,36809.0,109389.0,38026.0,9.9,298.0,39349.0
153,00:05.06,X,29828.0,36793.0,109384.0,38021.0,9.9,297.0,39370.0
154,00:05.09,X,29801.0,36764.0,109381.0,37989.0,9.9,295.0,39394.0
155,00:05.13,X,29769.0,36751.0,109381.0,37957.0,9.9,294.0,39434.0
156,00:05.16,X,29759.0,36751.0,109378.0,37973.0,9.9,292.0,39472.0
157,00:05.20,X,29737.0,36751.0,109372.0,38074.0,9.9,291.0,39504.0
158,00:05.23,X,29703.0,36727.0,109360.0,38333.0,9.9,288.0,39597.0
159,00:05.26,X,29684.0,36697.0,109357.0,38485.0,9.9,285.0,39717.0
160,00:05.29,X,29679.0,36681.0,109363.0,38560.0,9.9,283.0,39776.0
161,00:05.33,X,29673.0,36655.0,109362.0,38618.0,9.9,281.0,39802.0
162,00:05.36,X,29652.0,36625.0,109355.0,38682.0,9.9,279.0,39794.0
163,00:05.40,X,29631.0,36617.0,109347.0,38725.0,9.9,276.0,39770.0
164,00:05.43,X,29625.0,36612.0,109344.0,38725.0,9.9,272.0,39760.0
165,00:05.46,X,29615.0,36601.0,109343.0,38688.0,9.9,269.0,39760.0
166,00:05.50,X,29615.0,36585.0,109341.0,38616.0,9.9,266.0,39722.0
167,00:05.53,X,29615.0,36575.0,109331.0,38581.0,9.9,262.0,39664.0
168,00:05.56,X,29615.0,36564.0,109329.0,38538.0,9.9,259.0,39626.0
169,00:05.59,X,29615.0,36564.0,109329.0,38544.0,9.9,255.0,39600.0
170,00:05.63,X,29615.0,36564.0,109327.0,38514.0,9.9,252.0,39600.0
171,00:05.66,X,29604.0,36553.0,109322.0,38485.0,9.9,248.0,39594.0
172,00:05.70,X,29599.0,36543.0,109316.0,38442.0,9.9,244.0,39573.0
173,00:05.73,X,29593.0,36543.0,109315.0,38437.0,9.9,241.0,39568.0
174,00:05.76,X,29588.0,36543.0,109309.0,38397.0,9.9,238.0,39570.0
175,00:05.79,X,29592.0,36543.0,109300.0,38358.0,9.9,234.0,39609.0
176,00:05.83,X,29583.0,36543.0,109299.0,38326.0,9.9,230.0,39657.0
177,00:05.86,X,29583.0,36536.0,109289.0,38284.0,9.9,225.0,39683.0
178,00:05.90,X,29583.0,36527.0,109284.0,38282.0,9.9,221.0,39717.0
179,00:05.93,X,29583.0,36532.0,109284.0,38245.0,9.9,217.0,39749.0
180,00:05.96,X,29583.0,36532.0,109281.0,38202.0,9.9,213.0,39781.0
181,00:06.00,X,29583.0,36543.0,109272.0,38176.0,9.9,208.0,39802.0
182,00:06.03,X,29567.0,36537.0,109270.0,38186.0,9.9,204.0,39824.0
183,00:06.06,X,29567.0,36530.0,109270.0,38172.0,9.9,200.0,39852.0
184,00:06.09,X,29567.0,36527.0,109271.0,38137.0,9.9,196.0,39881.0
185,00:06.13,X,29560.0,36527.0,109265.0,38099.0,9.9,192.0,39884.0
186,00:06.16,X,29551.0,36527.0,109260.0,38074.0,9.9,188.0,39893.0
187,00:06.20,X,29540.0,36537.0,109255.0,38064.0,9.9,184.0,39930.0
188,00:06.23,X,29535.0,36537.0,109252.0,38133.0,9.9,180.0,39957.0
189,00:06.26,X,29521.0,36537.0,109245.0,38408.0,9.9,176.0,40021.0
190,00:06.29,X,29519.0,36520.0,109251.0,38612.0,9.9,172.0,40155.0
191,00:06.33,X,29519.0,36497.0,109246.0,38726.0,9.9,169.0,40187.0
192,00:06.36,X,29505.0,36495.0,109240.0,38786.0,9.9,166.0,40125.0
193,00:06.40,X,29517.0,36495.0,109238.0,38728.0,9.9,163.0,40049.0
194,00:06.43,X,29535.0,36484.0,109232.0,38661.0,9.9,159.0,39936.0
195,00:06.46,X,29519.0,36479.0,109230.0,38640.0,9.9,156.0,39882.0
196,00:06.50,X,29519.0,36479.0,109224.0,38640.0,9.9,152.0,39856.0
197,00:06.53,X,29527.0,36479.0,109221.0,38594.0,9.9,149.0,39834.0
198,00:06.56,X,29535.0,36479.0,109223.0,38565.0,9.9,146.0,39808.0
199,00:06.59,X,29519.0,36479.0,109217.0,38544.0,9.9,142.0,39781.0
200,00:06.63,X,29519.0,36463.0,109211.0,38512.0,9.9,139.0,39765.0
201,00:06.66,X,29519.0,36463.0,109208.0,38482.0,9.9,135.0,39765.0
202,00:06.70,X,29519.0,36479.0,109211.0,38448.0,9.9,132.0,39781.0
203,00:06.73,X,29519.0,36479.0,109214.0,38426.0,9.9,130.0,39792.0
204,00:06.76,X,29519.0,36479.0,109211.0,38416.0,9.9,128.0,39808.0
205,00:06.79,X,29519.0,36476.0,109207.0,38376.0,9.9,125.0,39840.0
206,00:06.83,X,29519.0,36479.0,109200.0,38352.0,9.9,122.0,39888.0
207,00:06.86,X,29519.0,36479.0,109199.0,38346.0,9.9,119.0,39936.0
208,00:06.90,,29519.0,36489.0,109197.0,38293.0,9.9,116.0,39973.0
209,00:06.93,,29527.0,36505.0,109191.0,38264.0,9.9,113.0,40032.0
210,00:06.96,,29547.0,36536.0,109190.0,38227.0,9.9,111.0,40121.0
211,00:07.00,,29573.0,36565.0,109190.0,38192.0,9.9,109.0,40220.0
212,00:07.03,,29611.0,36603.0,109187.0,38137.0,9.9,106.0,40313.0
213,00:07.06,,29641.0,36633.0,109190.0,38112.0,9.9,104.0,40368.0
214,00:07.09,,29652.0,36660.0,109190.0,38090.0,9.9,102.0,40432.0
215,00:07.13,,29689.0,36692.0,109187.0,38133.0,9.9,101.0,40490.0
216,00:07.16,,29716.0,36724.0,109184.0,38266.0,9.9,99.0,40565.0
217,00:07.20,,29748.0,36745.0,109187.0,38432.0,9.9,97.0,40645.0
218,00:07.23,,29784.0,36789.0,109183.0,38544.0,9.9,95.0,40771.0
219,00:07.26,,29842.0,36827.0,109183.0,38659.0,9.9,94.0,40867.0
220,00:07.29,,29887.0,36869.0,109189.0,38713.0,9.9,92.0,40857.0
221,00:07.33,,29924.0,36911.0,109191.0,38762.0,9.9,92.0,40848.0
222,00:07.36,,29961.0,36943.0,109188.0,38746.0,9.9,91.0,40853.0
223,00:07.40,,29999.0,36975.0,109187.0,38736.0,9.9,90.0,40880.0
224,00:07.43,,30049.0,37017.0,109185.0,38642.0,9.9,90.0,40861.0
225,00:07.46,,30105.0,37065.0,109187.0,38576.0,9.9,90.0,40816.0
226,00:07.50,,30143.0,37103.0,109184.0,38576.0,9.9,89.0,40800.0
227,00:07.53,,30180.0,37151.0,109180.0,38538.0,9.9,89.0,40805.0
228,00:07.56,,30231.0,37207.0,109187.0,38498.0,9.9,89.0,40850.0
229,00:07.59,,30287.0,37263.0,109194.0,38448.0,9.9,89.0,40885.0
230,00:07.63,,30313.0,37305.0,109186.0,38442.0,9.9,89.0,40896.0
231,00:07.66,,30345.0,37343.0,109172.0,38405.0,9.9,88.0,40901.0
232,00:07.70,,30399.0,37401.0,109171.0,38373.0,9.9,87.0,40949.0
233,00:07.73,,30447.0,37471.0,109177.0,38330.0,9.9,87.0,41008.0
234,00:07.76,,30473.0,37513.0,109176.0,38341.0,9.9,86.0,41056.0
235,00:07.79,,30505.0,37551.0,109172.0,38293.0,9.9,85.0,41082.0
236,00:07.83,,30556.0,37615.0,109164.0,38256.0,9.9,83.0,41114.0
237,00:07.86,,30596.0,37663.0,109162.0,38224.0,9.9,81.0,41152.0
238,00:07.90,,30633.0,37705.0,109165.0,38186.0,9.9,80.0,41168.0
239,00:07.93,,30660.0,37732.0,109165.0,38186.0,9.9,79.0,41173.0
240,00:07.96,,30705.0,37775.0,109157.0,38149.0,9.9,77.0,41168.0
241,00:08.00,,30745.0,37807.0,109151.0,38112.0,9.9,74.0,41136.0
242,00:08.03,,30767.0,37823.0,109151.0,38106.0,9.9,73.0,41104.0
243,00:08.06,,30783.0,37823.0,109151.0,38106.0,9.9,70.0,41050.0
244,00:08.09,,30777.0,37817.0,109146.0,38074.0,9.9,67.0,40928.0
245,00:08.13,,30772.0,37796.0,109138.0,38101.0,9.9,64.0,40778.0
246,00:08.16,,30745.0,37785.0,109136.0,38064.0,9.9,61.0,40682.0
247,00:08.19,,30729.0,37769.0,109134.0,38080.0,9.9,59.0,40592.0
248,00:08.23,,30687.0,37740.0,109131.0,38256.0,9.9,56.0,40490.0
249,00:08.26,,30649.0,37705.0,109123.0,38464.0,9.9,52.0,40426.0
250,00:08.30,,30617.0,37684.0,109119.0,38565.0,9.9,49.0,40384.0
251,00:08.33,,30596.0,37652.0,109111.0,38634.0,9.9,45.0,40304.0
252,00:08.36,,30553.0,37609.0,109110.0,38709.0,9.9,42.0,40138.0
253,00:08.40,,30514.0,37579.0,109111.0,38764.0,9.9,38.0,39980.0
254,00:08.43,,30472.0,37547.0,109105.0,38752.0,9.9,34.0,39881.0
255,00:08.46,,30434.0,37503.0,109093.0,38707.0,9.9,30.0,39760.0
256,00:08.50,,30415.0,37476.0,109088.0,38656.0,9.9,26.0,39653.0
257,00:08.53,,30393.0,37444.0,109090.0,38677.0,9.9,22.0,39573.0
258,00:08.56,,30367.0,37423.0,109092.0,38624.0,9.9,18.0,39530.0
259,00:08.59,,30345.0,37399.0,109087.0,38616.0,9.9,14.0,39501.0
