Sample,Time,Label,UPneumo,LPneumo,EDA1,Cardio1,Move1,DE,Aux02
2571,01:25.66,,54143.0,41007.0,119478.0,39109.0,,2.0,80.0
2572,01:25.70,,54065.0,40919.0,119468.0,39117.0,,1.0,82.0
2573,01:25.73,,53967.0,40827.0,119471.0,39014.0,,1.0,83.0
2574,01:25.76,,53893.0,40731.0,119489.0,38876.0,,1.0,83.0
2575,01:25.79,,53807.0,40635.0,119493.0,38745.0,,1.0,83.0
2576,01:25.83,,53759.0,40559.0,119478.0,38672.0,,1.0,85.0
2577,01:25.86,,53711.0,40511.0,119477.0,38629.0,,1.0,85.0
2578,01:25.90,,53663.0,40463.0,119481.0,38581.0,,1.0,80.0
2579,01:25.93,,53591.0,40404.0,119489.0,38528.0,,1.0,82.0
2580,01:25.96,,53524.0,40324.0,119493.0,38458.0,,2.0,80.0
2581,01:26.00,,53471.0,40276.0,119486.0,38405.0,,3.0,85.0
2582,01:26.03,,53412.0,40223.0,119485.0,38362.0,,4.0,80.0
2583,01:26.06,,53319.0,40108.0,119487.0,38853.0,,4.0,82.0
2584,01:26.09,,53247.0,39961.0,119483.0,39408.0,,3.0,85.0
2585,01:26.13,,53193.0,39887.0,119482.0,39541.0,,3.0,90.0
2586,01:26.16,,53156.0,39839.0,119484.0,39530.0,,4.0,80.0
2587,01:26.20,,53097.0,39807.0,119487.0,39384.0,,5.0,85.0
2588,01:26.23,,53019.0,39768.0,119482.0,39184.0,,6.0,83.0
2589,01:26.26,,52949.0,39739.0,119485.0,38966.0,,5.0,80.0
2590,01:26.29,,52882.0,39707.0,119482.0,38982.0,,5.0,86.0
2591,01:26.33,,52831.0,39673.0,119483.0,39013.0,,5.0,85.0
2592,01:26.36,,52804.0,39657.0,119487.0,39013.0,,6.0,85.0
2593,01:26.40,,52777.0,39663.0,119485.0,38981.0,,6.0,80.0
2594,01:26.43,,52751.0,39647.0,119481.0,38861.0,,5.0,80.0
2595,01:26.46,,52729.0,39647.0,119484.0,38741.0,,5.0,85.0
2596,01:26.50,,52719.0,39647.0,119480.0,38656.0,,4.0,80.0
2597,01:26.53,,52708.0,39652.0,119480.0,38586.0,,4.0,85.0
2598,01:26.56,,52703.0,39671.0,119478.0,38509.0,,3.0,85.0
2599,01:26.59,,52692.0,39700.0,119482.0,38448.0,,3.0,96.0
