"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux01"
194," 00:06.43"," --------",33449,38127,116787,40912,-9.9,169,47178
195," 00:06.46"," --------",33465,38183,116778,40869,-9.9,167,47013
196," 00:06.50"," --------",33439,38210,116768,41350,-9.9,166,46998
197," 00:06.53"," --------",33445,38181,116761,41670,-9.9,164,47264
198," 00:06.56"," --------",33477,38187,116759,41680,-9.9,163,48201
199," 00:06.59"," --------",33487,38223,116770,41642,-9.9,163,48565
200," 00:06.63"," --------",33476,38255,116781,41594,-9.9,163,48576
201," 00:06.66"," --------",33481,38276,116776,41541,-9.9,162,48506
202," 00:06.70"," --------",33540,38329,116767,41416,-9.9,161,48408
203," 00:06.73"," --------",33577,38388,116774,41349,-9.9,161,48256
204," 00:06.76"," --------",33593,38425,116787,41354,-9.9,163,48090
205," 00:06.79"," --------",33631,38457,116795,41328,-9.9,165,47824
206," 00:06.83"," --------",33681,38513,116785,41298,-9.9,165,47800
207," 00:06.86"," --------",33716,38559,116775,41258,-9.9,164,47941
208," 00:06.90"," --------",33748,38607,116781,41200,-9.9,164,47781
209," 00:06.93"," --------",33785,38644,116778,41136,-9.9,163,47696
210," 00:06.96"," --------",33823,38679,116762,41093,-9.9,162,47578
211," 00:07.00"," --------",33893,38738,116751,41043,-9.9,161,47427
212," 00:07.03"," --------",33947,38789,116760,41001,-9.9,161,47408
213," 00:07.06"," --------",34005,38837,116760,40947,-9.9,161,47216
214," 00:07.09"," --------",34041,38863,116758,40901,-9.9,160,47146
215," 00:07.13"," --------",34057,38863,116763,40864,-9.9,159,47258
216," 00:07.16"," --------",34089,38873,116769,40885,-9.9,159,47237
217," 00:07.20"," --------",34116,38868,116753,41213,-9.9,158,47154
218," 00:07.23"," --------",34121,38836,116743,41440,-9.9,156,47189
219," 00:07.26"," --------",34105,38809,116757,41461,-9.9,154,47488
220," 00:07.29"," --------",34079,38772,116763,41450,-9.9,151,48053
221," 00:07.33"," --------",34057,38748,116761,41397,-9.9,150,48296
222," 00:07.36"," --------",34047,38729,116752,41322,-9.9,148,48282
223," 00:07.40"," --------",34052,38713,116752,41221,-9.9,146,48213
224," 00:07.43"," --------",34041,38703,116761,41173,-9.9,145,48053
225," 00:07.46"," --------",34020,38692,116768,41160,-9.9,146,47901
226," 00:07.50"," --------",33999,38651,116739,41158,-9.9,145,47833
227," 00:07.53"," --------",33970,38635,116722,41113,-9.9,142,47763
228," 00:07.56"," --------",33941,38616,116730,41040,-9.9,140,47680
229," 00:07.59"," --------",33945,38601,116729,40981,-9.9,138,47600
230," 00:07.63"," --------",33940,38580,116736,40944,-9.9,137,47530
231," 00:07.66"," --------",33935,38559,116741,40896,-9.9,135,47504
232," 00:07.70"," --------",33919,38527,116743,40853,-9.9,134,47480
233," 00:07.73"," --------",33903,38495,116753,40810,-9.9,135,47386
234," 00:07.76"," --------",33881,38463,116752,40768,-9.9,134,47338
235," 00:07.79"," --------",33871,38431,116744,40720,-9.9,133,47328
236," 00:07.83"," --------",33849,38388,116735,40680,-9.9,131,47312
237," 00:07.86"," --------",33817,38356,116743,40874,-9.9,131,47269
238," 00:07.90"," --------",33780,38319,116752,41168,-9.9,131,47242
239," 00:07.93"," --------",33764,38255,116757,41296,-9.9,130,47248
240," 00:07.96"," --------",33761,38167,116755,41349,-9.9,130,47840
241," 00:08.00"," --------",33711,38082,116732,41312,-9.9,129,48496
242," 00:08.03"," --------",33679,38043,116728,41232,-9.9,130,48355
243," 00:08.06"," --------",33669,38018,116717,41129,-9.9,129,48150
244," 00:08.09"," --------",33641,37999,116719,41072,-9.9,128,48101
245," 00:08.13"," --------",33609,37983,116731,41045,-9.9,128,47968
246," 00:08.16"," --------",33583,37967,116736,41050,-9.9,127,47856
247," 00:08.19"," ------13",33577,37967,116732,41018,-9.9,127,47789
248," 00:08.23"," ------13",33567,37967,116732,40944,-9.9,125,47717
249," 00:08.26"," ------13",33540,37967,116728,40906,-9.9,124,47674
250," 00:08.30"," ------13",33540,37956,116721,40848,-9.9,122,47626
251," 00:08.33"," ------13",33524,37937,116724,40770,-9.9,121,47573
252," 00:08.36"," ------13",33519,37929,116724,40709,-9.9,120,47520
253," 00:08.40"," ------13",33508,37924,116727,40677,-9.9,118,47429
254," 00:08.43"," ------13",33503,37919,116728,40640,-9.9,116,47466
255," 00:08.46"," ------13",33497,37927,116722,40592,-9.9,114,47360
256," 00:08.50"," ------13",33474,37906,116719,40534,-9.9,113,47388
257," 00:08.53"," ------13",33471,37915,116719,40476,-9.9,113,47216
258," 00:08.56"," ------13",33442,37906,116702,40790,-9.9,112,47238
259," 00:08.59"," ------13",33407,37855,116706,41136,-9.9,111,47237
260," 00:08.63"," ------13",33407,37812,116714,41221,-9.9,110,47488
261," 00:08.66"," ------13",33407,37780,116717,41242,-9.9,109,47941
262," 00:08.69"," ------13",33380,37748,116720,41200,-9.9,108,48314
263," 00:08.73"," ------13",33359,37727,116722,41152,-9.9,107,48469
264," 00:08.76"," ------13",33359,37737,116721,41088,-9.9,107,48293
265," 00:08.80"," ------13",33364,37743,116717,41024,-9.9,106,48192
266," 00:08.83"," ------13",33335,37737,116701,40957,-9.9,105,48162
